,WT_flux,HP_flux,diff,rxn_id,rxn
0,0.0,0.0,0.0,ACTS10,actint1ACPact_c + h_c + nadph_c --> actint2ACPact_c + nadp_c
1,0.0,0.0,0.0,ACTS13,actint4ACPact_c + h_c + nadph_c --> chiralc_c + nadp_c
2,0.0,0.0,0.0,ACTS14,actint5ACPact_c --> dnpaACPact_c + h2o_c
3,0.0,0.0,0.0,ACTS15,dnpaACPact_c + h_c + nadph_c --> ddhkACPact_c + nadp_c
4,0.0,0.0,0.0,ACTS2,accoa_c + h_c + malACPact_c --> actACPact_c + co2_c + coa_c
5,0.0,0.0,0.0,ACTS3,actACPact_c + h_c + malcoa_c --> co2_c + coa_c + pk6ACPact_c
6,0.0,0.0,0.0,ACTS4,h_c + malcoa_c + pk6ACPact_c --> co2_c + coa_c + pk8ACPact_c
7,0.0,0.0,0.0,ACTS5,h_c + malcoa_c + pk8ACPact_c --> co2_c + coa_c + pk10ACPact_c
8,0.0,0.0,0.0,ACTS6,h_c + malcoa_c + pk10ACPact_c --> co2_c + coa_c + pk12ACPact_c
9,0.0,0.0,0.0,ACTS7,h_c + malcoa_c + pk12ACPact_c --> co2_c + coa_c + pk14ACPact_c
10,0.0,0.0,0.0,ACTS8,h_c + malcoa_c + pk14ACPact_c --> co2_c + coa_c + pk16ACPact_c
11,0.0,0.0,0.0,ACTS9,pk16ACPact_c --> actint1ACPact_c
12,0.0,0.0,0.0,ALAD_L,ala__L_c + h2o_c + nad_c --> h_c + nadh_c + nh4_c + pyr_c
13,0.007016991357838813,0.007182290470835435,0.0001652991129966223,ALAR,ala__L_c <=> ala__D_c
14,-0.02879784677018129,-0.02947623702101234,-0.0006783902508310513,ALATA_L,akg_c + ala__L_c <=> glu__L_c + pyr_c
15,0.005576661198297783,0.005708030485012308,0.0001313692867145255,APAT2r,akg_c + ala_B_c <=> glu__L_c + msa_c
16,0.0,0.0,0.0,ASNN,asn__L_c + h2o_c --> asp__L_c + nh4_c
17,0.006177654761021605,0.006323181640038702,0.00014552687901709695,ASNS1,asp__L_c + atp_c + gln__L_c + h2o_c --> amp_c + asn__L_c + glu__L_c + h_c + ppi_c
18,0.0,0.0,0.0,ASPO1,asp__L_c + h2o_c + o2_c --> h2o2_c + nh4_c + oaa_c
19,-0.09692750428000699,-0.16320434835992043,-0.06627684407991344,ASPTA,akg_c + asp__L_c <=> glu__L_c + oaa_c
20,0.0,0.0,0.0,3OXCOAT,coa_c + oxadpcoa_c --> accoa_c + succoa_c
21,0.0,0.0,0.0,5DGLCNR,5dglcn_c + h_c + nadph_c <=> glcn_c + nadp_c
22,0.0,0.0,0.0,6PHBG,h2o_c + salcn6p_c --> 2hymeph_c + g6p_c
23,0.0,0.0,0.0,AAMYLe,14glucan_e --> malthx_e
24,0.0,0.0,0.0,ACM6PH,acmum6p_c + h2o_c --> acgam6p_c + lac__D_c
25,0.0,0.0,0.0,ACS2,atp_c + coa_c + ppa_c --> amp_c + ppcoa_c + ppi_c
26,0.0,0.0,0.0,AGDC,acgam6p_c + h2o_c --> ac_c + gam6p_c
27,0.0,0.0,0.0,ALCD19,glyald_c + h_c + nadh_c <=> glyc_c + nad_c
28,-0.06019306925040413,-0.0759971773471962,-0.01580410809679207,ALCD19y,glyald_c + h_c + nadph_c <=> glyc_c + nadp_c
29,0.00028118213814408427,0.00028780593966463026,6.623801520545987e-06,ALDD1,fald_c + h2o_c + nad_c --> for_c + 2.0 h_c + nadh_c
30,0.0,0.0,0.0,ALDD19xr,h2o_c + nad_c + pacald_c --> 2.0 h_c + nadh_c + pac_c
31,0.0,0.0,0.0,ALDD2x,acald_c + h2o_c + nad_c --> ac_c + 2.0 h_c + nadh_c
32,0.0,0.0,0.0,ALLTAMH2,alltt_c + h2o_c + 2.0 h_c --> co2_c + nh4_c + urdgci_c
33,0.0,0.0,0.0,AMALT1,malt_c + malttr_c --> glc__D_c + maltttr_c
34,0.0,0.0,0.0,AMALT2,malt_c + maltttr_c --> glc__D_c + maltpt_c
35,0.0,0.0,0.0,AMALT3,malt_c + maltpt_c --> glc__D_c + malthx_c
36,0.0,0.0,0.0,AMALT4,malt_c + malthx_c --> glc__D_c + malthp_c
37,0.0,0.0,0.0,ARAI,arab__L_c <=> rbl__L_c
38,0.0,0.0,0.0,BGLA,cellb_c + h2o_c --> 2.0 glc__D_c
39,0.0,0.0,0.0,ABTDG,abt__D_c + nad_c --> h_c + nadh_c + xylu__D_c
40,0.0,0.0,0.0,DCH,chtbs_c + h2o_c --> 2.0 acgam_c
41,0.0,0.0,0.0,DDGLK,2ddglcn_c + atp_c --> 2ddg6p_c + adp_c + h_c
42,0.0,0.0,0.0,DHACOAH,23dhacoa_c + h2o_c <=> 3hadpcoa_c
43,0.7285580286538683,0.6288269306476316,-0.0997310980062367,DHAK,atp_c + dha_c --> adp_c + dhap_c + h_c
44,0.0,0.0,0.0,D4DGCD,5dh4dglc_c + h_c --> 25dop_c + co2_c + h2o_c
45,0.0,0.0,0.0,DRBK,atp_c + drib_c --> 2dr5p_c + adp_c + h_c
46,0.0,0.0,0.0,DRPA,2dr5p_c --> acald_c + g3p_c
